name|video|start|end|speaker|orth|translation
01June_2011_Wednesday_heute-944|01June_2011_Wednesday_heute-944/1/*.png|-1|-1|Signer01|LIEB ZUSCHAUER GUT ABEND|liebe zuschauer guten abend
01June_2010_Tuesday_heute-6617|01June_2010_Tuesday_heute-6617/1/*.png|-1|-1|Signer01|ENDLICH WIRKLICH SOMMER KOMMEN|da kommt endlich dann wirklich mal der sommer
01April_2010_Thursday_tagesschau-4323|01April_2010_Thursday_tagesschau-4323/1/*.png|-1|-1|Signer04|MORGEN UEBERWIEGEND FREUNDLICH IX SCHAUER|am tag ist es überwiegend freundlich und nur vereinzelt fallen schauer
01December_2011_Thursday_tagesschau-3478|01December_2011_Thursday_tagesschau-3478/1/*.png|-1|-1|Signer05|MONTAG OFT STARK WOLKE TEIL ORT REGEN|am montag ist es oft stark bewölkt gebietsweise regnet es kräftig
01May_2010_Saturday_tagesschau-7196|01May_2010_Saturday_tagesschau-7196/1/*.png|-1|-1|Signer05|DIENSTAG SUEDOST REGEN NORDWEST MEHR FREUNDLICH|am dienstag regnet es im südosten ab und an richtung nordwesten ist es recht freundlich
01June_2010_Tuesday_heute-6610|01June_2010_Tuesday_heute-6610/1/*.png|-1|-1|Signer01|MORGEN WEITER REGEN REGION BISSCHEN VERAENDERN|und morgen geht es weiter mit dem regen über der osthälfte ein bisschen verändert
01May_2010_Saturday_tagesschau-7191|01May_2010_Saturday_tagesschau-7191/1/*.png|-1|-1|Signer05|NORD SCHWACH MAESSIG NORD WEHEN SONST REGION SCHWACH WEHEN|der wind weht im norden schwach bis mäßig aus ost bis nordost sonst schwach aus unterschiedlichen richtungen
01April_2010_Thursday_tagesschau-4324|01April_2010_Thursday_tagesschau-4324/1/*.png|-1|-1|Signer04|ABEND WEST SUED BISSCHEN REGEN|gegen abend beginnt es dann im westen und südwesten hier und da zu regnen
01December_2011_Thursday_tagesschau-3476|01December_2011_Thursday_tagesschau-3476/1/*.png|-1|-1|Signer05|SAMSTAG WIEDER NEU REGEN KOMMEN WIND STURM|im laufe des samstags breiten sich neue regenfälle von nordwest nach südost aus dazu wird es sehr windig bis stürmisch
01December_2011_Thursday_tagesschau-3471|01December_2011_Thursday_tagesschau-3471/1/*.png|-1|-1|Signer05|MEISTENS WOLKE REGEN SUED KOMMEN|die dichten regenwolken verlagern sich südostwärts
01April_2010_Thursday_heute-6696|01April_2010_Thursday_heute-6696/1/*.png|-1|-1|Signer04|UEBERSCHWEMMUNG AMERIKA IX|schwere überschwemmungen in den usa
01June_2011_Wednesday_heute-945|01June_2011_Wednesday_heute-945/1/*.png|-1|-1|Signer01|HEUTE GERADE ERSTE SOMMER TAG FUER WIRKLICH WETTER FACH LEUTE GESTERN FRUEHLING ZU-ENDE VORBEI ENORM neg-ZU-WARM|heute der erste sommertag für die meteorologen aber das frühjahr das gestern zu ende ging war ja auch zu warm
